condition,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
rt,SCHED_FIFO,50,5.0000,39,5.0378,4.9500
rt,SCHED_FIFO,50,5.0000,40,5.0353,4.9700
rt,SCHED_FIFO,50,5.0000,41,5.0347,4.9500
rt,SCHED_FIFO,50,5.0000,42,5.0512,4.9500
rt,SCHED_FIFO,50,5.0000,43,5.0319,4.9700
rt,SCHED_FIFO,50,5.0000,44,5.0395,4.9400
rt,SCHED_FIFO,50,5.0000,45,5.0364,4.9500
rt,SCHED_FIFO,50,5.0000,46,5.1046,4.9200
rt,SCHED_FIFO,50,5.0000,47,5.0423,4.9700
rt,SCHED_FIFO,50,5.0000,48,5.0571,4.9500
rt,SCHED_FIFO,50,5.0000,49,5.0346,4.9500
rt,SCHED_FIFO,50,10.0000,0,10.0418,9.9500
rt,SCHED_FIFO,50,10.0000,1,10.0363,9.9600
rt,SCHED_FIFO,50,10.0000,2,10.0626,9.9300
rt,SCHED_FIFO,50,10.0000,3,10.0238,9.9400
rt,SCHED_FIFO,50,10.0000,4,10.0397,9.9300
rt,SCHED_FIFO,50,10.0000,5,10.0587,9.9600
rt,SCHED_FIFO,50,10.0000,6,10.0851,9.9600
rt,SCHED_FIFO,50,10.0000,7,10.0451,9.9300
rt,SCHED_FIFO,50,10.0000,8,10.0260,9.9300
rt,SCHED_FIFO,50,10.0000,9,10.0578,9.9600
rt,SCHED_FIFO,50,10.0000,10,10.0446,9.9300
rt,SCHED_FIFO,50,10.0000,11,10.0760,9.9700
rt,SCHED_FIFO,50,10.0000,12,10.0450,9.9500
rt,SCHED_FIFO,50,10.0000,13,10.0402,9.9400
rt,SCHED_FIFO,50,10.0000,14,10.0487,9.9400
rt,SCHED_FIFO,50,10.0000,15,10.0564,9.9400
rt,SCHED_FIFO,50,10.0000,16,10.0631,9.9600
rt,SCHED_FIFO,50,10.0000,17,10.0432,9.9300
rt,SCHED_FIFO,50,10.0000,18,10.0447,9.9400
rt,SCHED_FIFO,50,10.0000,19,10.0405,9.9500
rt,SCHED_FIFO,50,10.0000,20,10.0456,9.9400
rt,SCHED_FIFO,50,10.0000,21,10.0397,9.9600
rt,SCHED_FIFO,50,10.0000,22,10.0208,9.9300
rt,SCHED_FIFO,50,10.0000,23,10.0396,9.9300
rt,SCHED_FIFO,50,10.0000,24,10.0409,9.9200
rt,SCHED_FIFO,50,10.0000,25,10.0547,9.9600
rt,SCHED_FIFO,50,10.0000,26,10.0437,9.9700
rt,SCHED_FIFO,50,10.0000,27,10.0466,9.9900
rt,SCHED_FIFO,50,10.0000,28,10.0466,9.9200
rt,SCHED_FIFO,50,10.0000,29,10.0617,9.9700
rt,SCHED_FIFO,50,10.0000,30,10.1038,9.9700
rt,SCHED_FIFO,50,10.0000,31,10.0421,9.9400
rt,SCHED_FIFO,50,10.0000,32,10.0695,9.9400
rt,SCHED_FIFO,50,10.0000,33,10.0422,9.9200
rt,SCHED_FIFO,50,10.0000,34,10.0410,9.9700
rt,SCHED_FIFO,50,10.0000,35,10.0421,9.9300
rt,SCHED_FIFO,50,10.0000,36,10.0409,9.9200
rt,SCHED_FIFO,50,10.0000,37,10.0420,9.9300
rt,SCHED_FIFO,50,10.0000,38,10.0430,9.9200
rt,SCHED_FIFO,50,10.0000,39,10.0666,9.9500
rt,SCHED_FIFO,50,10.0000,40,10.0426,9.9400
rt,SCHED_FIFO,50,10.0000,41,10.0396,9.9500
rt,SCHED_FIFO,50,10.0000,42,10.0264,9.9300
rt,SCHED_FIFO,50,10.0000,43,10.0409,9.9400
rt,SCHED_FIFO,50,10.0000,44,10.0407,9.9500
rt,SCHED_FIFO,50,10.0000,45,10.0448,9.9500
rt,SCHED_FIFO,50,10.0000,46,10.0498,9.9800
rt,SCHED_FIFO,50,10.0000,47,10.0445,9.9400
rt,SCHED_FIFO,50,10.0000,48,10.0364,9.9600
rt,SCHED_FIFO,50,10.0000,49,10.0558,9.9600
rt,SCHED_FIFO,50,20.0000,0,20.0572,19.9700
rt,SCHED_FIFO,50,20.0000,1,20.0303,19.9400
rt,SCHED_FIFO,50,20.0000,2,20.0435,19.9400
rt,SCHED_FIFO,50,20.0000,3,20.0425,19.9900
rt,SCHED_FIFO,50,20.0000,4,20.0436,19.9500
rt,SCHED_FIFO,50,20.0000,5,20.0439,19.9400
rt,SCHED_FIFO,50,20.0000,6,20.0530,19.9400
rt,SCHED_FIFO,50,20.0000,7,20.0402,19.9400
rt,SCHED_FIFO,50,20.0000,8,20.0715,19.9800
rt,SCHED_FIFO,50,20.0000,9,20.0667,19.9900
rt,SCHED_FIFO,50,20.0000,10,20.0519,19.9200
rt,SCHED_FIFO,50,20.0000,11,20.0467,19.9300
rt,SCHED_FIFO,50,20.0000,12,20.0401,19.9000
rt,SCHED_FIFO,50,20.0000,13,20.0581,19.9300
rt,SCHED_FIFO,50,20.0000,14,20.1216,19.9900
rt,SCHED_FIFO,50,20.0000,15,20.0796,19.9900
rt,SCHED_FIFO,50,20.0000,16,20.0331,19.9200
rt,SCHED_FIFO,50,20.0000,17,20.0641,19.9200
rt,SCHED_FIFO,50,20.0000,18,20.1330,19.9700
rt,SCHED_FIFO,50,20.0000,19,20.0521,19.9600
rt,SCHED_FIFO,50,20.0000,20,20.0742,19.9700
rt,SCHED_FIFO,50,20.0000,21,20.0310,19.9300
rt,SCHED_FIFO,50,20.0000,22,20.0516,19.9300
rt,SCHED_FIFO,50,20.0000,23,20.0852,20.0100
rt,SCHED_FIFO,50,20.0000,24,20.0389,19.9300
rt,SCHED_FIFO,50,20.0000,25,20.0494,19.9400
rt,SCHED_FIFO,50,20.0000,26,20.0666,19.9600
rt,SCHED_FIFO,50,20.0000,27,20.0685,19.9800
rt,SCHED_FIFO,50,20.0000,28,20.0497,19.9600
rt,SCHED_FIFO,50,20.0000,29,20.0697,19.9800
rt,SCHED_FIFO,50,20.0000,30,20.0684,19.9700
rt,SCHED_FIFO,50,20.0000,31,20.0721,19.9400
rt,SCHED_FIFO,50,20.0000,32,20.0402,19.9600
rt,SCHED_FIFO,50,20.0000,33,20.0357,19.9400
rt,SCHED_FIFO,50,20.0000,34,20.0487,19.9500
rt,SCHED_FIFO,50,20.0000,35,20.0399,19.9500
rt,SCHED_FIFO,50,20.0000,36,20.0353,19.9500
rt,SCHED_FIFO,50,20.0000,37,20.0358,19.9800
rt,SCHED_FIFO,50,20.0000,38,20.0490,19.9700
rt,SCHED_FIFO,50,20.0000,39,20.0285,19.9500
rt,SCHED_FIFO,50,20.0000,40,20.0516,19.9600
rt,SCHED_FIFO,50,20.0000,41,20.0595,19.9500
rt,SCHED_FIFO,50,20.0000,42,20.0622,19.9700
rt,SCHED_FIFO,50,20.0000,43,20.0654,19.9600
rt,SCHED_FIFO,50,20.0000,44,20.0500,19.9300
rt,SCHED_FIFO,50,20.0000,45,20.0683,19.9800
rt,SCHED_FIFO,50,20.0000,46,20.0376,19.9600
rt,SCHED_FIFO,50,20.0000,47,20.0453,19.9600
rt,SCHED_FIFO,50,20.0000,48,20.0642,19.9600
rt,SCHED_FIFO,50,20.0000,49,20.0981,19.9300
rt,SCHED_FIFO,50,50.0000,0,50.0752,49.9500
rt,SCHED_FIFO,50,50.0000,1,50.0739,49.9700
rt,SCHED_FIFO,50,50.0000,2,50.1084,50.0000
rt,SCHED_FIFO,50,50.0000,3,50.1023,49.9700
rt,SCHED_FIFO,50,50.0000,4,50.1228,49.9600
rt,SCHED_FIFO,50,50.0000,5,50.0725,49.9400
rt,SCHED_FIFO,50,50.0000,6,50.0965,49.9700
rt,SCHED_FIFO,50,50.0000,7,50.0958,49.9700
rt,SCHED_FIFO,50,50.0000,8,50.0924,49.9600
rt,SCHED_FIFO,50,50.0000,9,50.0726,49.9800
rt,SCHED_FIFO,50,50.0000,10,50.0749,49.9700
rt,SCHED_FIFO,50,50.0000,11,50.0688,49.9400
rt,SCHED_FIFO,50,50.0000,12,50.1118,49.9800
rt,SCHED_FIFO,50,50.0000,13,50.0958,49.9500
rt,SCHED_FIFO,50,50.0000,14,50.0930,49.9700
rt,SCHED_FIFO,50,50.0000,15,50.0742,50.0000
rt,SCHED_FIFO,50,50.0000,16,50.0854,49.9900
rt,SCHED_FIFO,50,50.0000,17,50.0872,50.0000
rt,SCHED_FIFO,50,50.0000,18,50.0589,49.9700
rt,SCHED_FIFO,50,50.0000,19,50.0764,50.0100
rt,SCHED_FIFO,50,50.0000,20,50.0988,49.9700
rt,SCHED_FIFO,50,50.0000,21,50.0822,49.9600
rt,SCHED_FIFO,50,50.0000,22,50.0568,49.9500
rt,SCHED_FIFO,50,50.0000,23,50.1071,49.9600
rt,SCHED_FIFO,50,50.0000,24,50.0627,49.9500
rt,SCHED_FIFO,50,50.0000,25,50.0545,49.9400
rt,SCHED_FIFO,50,50.0000,26,50.0896,49.9900
rt,SCHED_FIFO,50,50.0000,27,50.0475,49.9400
rt,SCHED_FIFO,50,50.0000,28,50.0810,49.9800
rt,SCHED_FIFO,50,50.0000,29,50.0820,49.9400
rt,SCHED_FIFO,50,50.0000,30,50.0947,49.9600
rt,SCHED_FIFO,50,50.0000,31,50.0708,49.9600
rt,SCHED_FIFO,50,50.0000,32,50.0860,49.9600
rt,SCHED_FIFO,50,50.0000,33,50.0902,49.9900
rt,SCHED_FIFO,50,50.0000,34,50.0723,49.9800
rt,SCHED_FIFO,50,50.0000,35,50.0830,49.9500
rt,SCHED_FIFO,50,50.0000,36,50.0702,49.9400
rt,SCHED_FIFO,50,50.0000,37,50.0731,49.9800
rt,SCHED_FIFO,50,50.0000,38,50.0797,49.9800
rt,SCHED_FIFO,50,50.0000,39,50.0562,49.9500
rt,SCHED_FIFO,50,50.0000,40,50.0769,49.9600
rt,SCHED_FIFO,50,50.0000,41,50.1300,49.9800
rt,SCHED_FIFO,50,50.0000,42,50.0795,49.9700
rt,SCHED_FIFO,50,50.0000,43,50.0681,49.9600
rt,SCHED_FIFO,50,50.0000,44,50.0817,49.9000
rt,SCHED_FIFO,50,50.0000,45,50.0721,49.9700
rt,SCHED_FIFO,50,50.0000,46,50.0697,49.9600
rt,SCHED_FIFO,50,50.0000,47,50.0481,50.0000
rt,SCHED_FIFO,50,50.0000,48,50.0552,49.9500
rt,SCHED_FIFO,50,50.0000,49,50.0618,49.9500
